Zona,Tipo de Trabalho,Nº de vagas
Aveiro,.NET Architect,1
Aveiro,.NET Core Architect,1
Aveiro,.NET Core Senior Developer,1
Aveiro,.NET Core Tech Lead,1
Aveiro,.NET Senior Developer,1
Aveiro,Angular Architect,1
Aveiro,Angular Senior Developer,1
Aveiro,Automation Tester (Remote),1
Aveiro,BI Engineer (QLIK),1
Aveiro,Backend Developer  - .NET,1
Aveiro,Backend Developer (Junior with experience),1
Aveiro,Backend Developer - Java,1
Aveiro,Business Analyst,1
Aveiro,Business Intelligence Analyst - Full remote,1
Aveiro,Cloud & Data Engineer,1
Aveiro,Cloud Architect,1
Aveiro,Cloud Engineer,1
Aveiro,Cloud Engineering Manager,1
Aveiro,Cybersecurity Analyst,1
Aveiro,Cybersecurity Engineer,1
Aveiro,DBA,1
Aveiro,Data Analyst,1
Aveiro,Data Engineer,1
Aveiro,Data Scientist (Remote),1
Aveiro,Embedded Software Engineer (Mid-Level),1
Aveiro,Embedded Systems Engineer,1
Aveiro,Especialista em Suporte Aplicacional e Operações,1
Aveiro,Frontend Developer (Angular),1
Aveiro,Frontend Developer - Angular,1
Aveiro,Full Stack Developer,1
Aveiro,Full Stack Senior Developer,1
Aveiro,Fullstack Developer - .NET & Angular,1
Aveiro,Fullstack Developer - Java & Angular,1
Aveiro,Fullstack Java/Angular,1
Aveiro,Gestor de Clientes,1
Aveiro,IT/OT Specialist,1
Aveiro,JAVA Developer,1
Aveiro,Java Developer,2
Aveiro,Junior IT Consultant,1
Aveiro,Junior Tech Consultant (Open to All Sciences & Engineering),1
Aveiro,Kubernetes Engineer,1
Aveiro,MID Security Engineer,1
Aveiro,MSFT 365 & Endpoint Management Architect - Voice Technologies,1
Aveiro,Mid Cloud Engineer,1
Aveiro,Mid/Senior Developer,2
Aveiro,Mid/Senior Developer/Architect,1
Aveiro,NOC Manager,1
Aveiro,Power Platform Developer,1
Aveiro,Programador .NET Full Stack,1
Aveiro,Python Developer,1
Aveiro,QA Engineer,1
Aveiro,ReactJS Architect,1
Aveiro,Recém-Licenciado / Mestre em Engenharia Informática,1
Aveiro,Reliability and Performance Engineer,1
Aveiro,Senior Cloud Enginner,1
Aveiro,Senior Database Administrator,2
Aveiro,Senior IT Project Manager,1
Aveiro,Senior IT Project Manager - Full remote,1
Aveiro,Senior Java Developer (API & Microserviços),1
Aveiro,Software Developer (.NET),1
Aveiro,Software Developer (Mid-level),1
Aveiro,Software Engineer,1
Aveiro,Software Engineer (Python),1
Aveiro,Support Specialist,1
Aveiro,System Administrator,1
Aveiro,System Administrator Linux,1
Aveiro,System Engineer,1
Aveiro,Systems Architect - Teams and Collaboration - Full remote,1
Aveiro,Technical Team Lead,2
Aveiro,Web Developer (Angular),1
Açores,Outsystems developer,1
Açores,Power Platform Developer,1
Beja,Gestor de TIC,1
Beja,Power Platform Developer,1
Braga,.NET Architect,1
Braga,.NET Core Architect,1
Braga,.NET Core Senior Developer,1
Braga,.NET Core Tech Lead,1
Braga,.NET Senior Developer,1
Braga,Android Developer,1
Braga,Angular Architect,1
Braga,Angular Senior Developer,1
Braga,Backend Developer,1
Braga,Backend Developer  - .NET,1
Braga,Backend Developer  - .NET & Maui Developer,1
Braga,Backend Developer (Java),1
Braga,Backend Developer - Java,1
Braga,Backend Engineer (.NET/NodeJS),1
Braga,Backend Node.js Developer w/ AWS,1
Braga,Business Analyst,1
Braga,Business Analyst ATC,1
Braga,Business Manager,1
Braga,Chief Architect,1
Braga,Cloud  Architect,1
Braga,Cloud Engineer,1
Braga,Cloud Solutions Architect,1
Braga,Cybersecurity Engineer,1
Braga,Cybersecurity Specialist,1
Braga,Data Analyst,1
Braga,Data Engineer,7
Braga,Delivery Manager,1
Braga,DevOps Azure,1
Braga,DevOps Engineer,1
Braga,DevOps Engineer (GCP/GenAI Focused),1
Braga,Engenheiro de Software,1
Braga,"Engenheiro de Software (C, Java, IoT)",1
Braga,Formadores para as áreas da Transição Digital,1
Braga,Fox Pro Developer,1
Braga,Frontend Developer,1
Braga,Frontend Developer - Angular,1
Braga,Frontend Engineer (Vue.js),1
Braga,Full Stack Developer (Node.js/AWS),1
Braga,Full Stack Senior Developer,1
Braga,Fullstack Developer - .NET & Angular,1
Braga,Fullstack Developer - .NET & ReactJS,1
Braga,Fullstack Developer - Java & Angular,1
Braga,Gestor Júnior Comercial,1
Braga,IT recruiter,1
Braga,Java + Python Developer,1
Braga,Java Developer,1
Braga,Java Senior Backend/Team Lead,1
Braga,Java Spring Boot Specialist,1
Braga,Junior Data Analytics Consultant,1
Braga,Microsoft Tech Lead,1
Braga,Mid PHP Symfony Developer,2
Braga,Mobile Developer,1
Braga,Networking Administrator,1
Braga,Node.js Developer/ Architect,1
Braga,Node.js Tech Lead,1
Braga,Platform Engineer,1
Braga,Power Platform Developer,2
Braga,Programador .NET Full Stack,1
Braga,Programador HTML/CSS/JS (.NET & SQL Server),1
Braga,Project/Program Manager,1
Braga,QA Engineer,1
Braga,Quality Engineer,1
Braga,Quality Test Engineer,1
Braga,ReactJS Architect,1
Braga,SAP Basis Consultant,1
Braga,SAP C4C SDK and PDI Consultant,1
Braga,SAP Cloud Architect,1
Braga,SAP Datashpere & 4HANA,1
Braga,SAP FI Consultant,1
Braga,SAP FI Developer,1
Braga,SAP FI-CO Consultant,1
Braga,SAP Integration Engineer,1
Braga,Security Engineer,1
Braga,Senior BE Developer,1
Braga,Senior DevOps Engineer,1
Braga,Senior Flutter Developer,1
Braga,Senior iOS Developer,1
Braga,Site Reliability Engineer,1
Braga,Software Developer (Python),1
Braga,System Administrator Linux,1
Braga,iOS Developer,1
Bragança,.NET Architect,1
Bragança,.NET Core Architect,1
Bragança,.NET Core Senior Developer,1
Bragança,.NET Core Tech Lead,1
Bragança,.NET Senior Developer,1
Bragança,Angular Architect,1
Bragança,Angular Senior Developer,1
Bragança,Full Stack Senior Developer,1
Bragança,Power Platform Developer,1
Bragança,ReactJS Architect,1
Castelo Branco,.NET Architect,1
Castelo Branco,.NET Core Architect,1
Castelo Branco,.NET Core Senior Developer,1
Castelo Branco,.NET Core Tech Lead,1
Castelo Branco,.NET Senior Developer,1
Castelo Branco,Angular Architect,1
Castelo Branco,Angular Senior Developer,1
Castelo Branco,Full Stack Senior Developer,1
Castelo Branco,Outsystems Architect,1
Castelo Branco,Outsystems Developer,1
Castelo Branco,Outsystems Senior Developer (5Y),1
Castelo Branco,Outsystems Tech Lead,1
Castelo Branco,Power Platform Developer,1
Castelo Branco,ReactJS Architect,1
Castelo Branco,Senior Business Analyst (Outsystems),1
Castelo Branco,Senior Engagement Manager,1
Coimbra,.Net Developer,1
Coimbra,AI Engineer,1
Coimbra,Android Engineer,1
Coimbra,Backend Developer,1
Coimbra,Backend Developer (Java),1
Coimbra,Backend Node.js Developer w/ AWS,1
Coimbra,Business Analyst ATC,1
Coimbra,Data Engineer,3
Coimbra,DevOps Engineer (GCP/GenAI Focused),1
Coimbra,Frontend Developer - Angular,1
Coimbra,Frontend Web Developer,1
Coimbra,IT Recruiter Internship (IEFP),1
Coimbra,Intermediate Data Scientist,1
Coimbra,Intermediate DevOps Engineer,1
Coimbra,Java + Python Developer,1
Coimbra,Java Developer,2
Coimbra,Java Senior Backend/Team Lead,1
Coimbra,Machine Learning,1
Coimbra,Mobile Developer,1
